qps,conns,run,p50,p75,p90,p99,p999,max,rps,error_rate_pct,total,errors
50,4,1,0.0003007,0.000469897,0.000571414,0.000632325,0.000638416,0.000639093,50.0,0.0,1500.0,
50,4,2,0.00013231,0.000189323,0.000223532,0.000244056,0.000246109,0.000246337,50.0,0.0,1500.0,
100,8,1,0.000427161,0.000614405,0.000726751,0.000794158,0.000800899,0.000801648,100.0,0.0,3000.0,
100,8,2,0.000327668,0.000472629,0.000559605,0.000611791,0.000617009,0.000617589,100.0,0.0,3000.0,
200,16,1,0.00136364,0.00172727,0.00194545,0.00228197,0.0023303,0.00233568,200.0,0.0,6000.0,
200,16,2,0.000793731,0.00115149,0.00133327,0.00144234,0.00145325,0.00145446,200.0,0.0,6000.0,
400,32,1,0.00126667,0.0018,0.00225441,0.00266147,0.00270218,0.0027067,399.9,0.0,12000.0,
400,32,2,0.000851411,0.00130692,0.00160156,0.00177834,0.00179602,0.00179798,400.0,0.0,12000.0,
800,64,1,0.00433333,0.00616667,0.00751111,0.0451381,0.0453591,0.0453836,799.8,0.0,24000.0,
800,64,2,0.00182609,0.003,0.0038,0.0382293,0.039597,0.0397489,799.8,0.0,24000.0,
1600,64,1,0.00145455,0.0420833,0.0440833,0.0462014,0.0467103,0.0467668,1599.8,0.0,48000.0,
1600,64,2,0.00143478,0.00217647,0.00274118,0.0324114,0.0334327,0.0335462,1599.6,0.0,48000.0,
